blue_win,blue_kills,blue_deaths,blue_assists,blue_kda,red_kills,red_deaths,red_assists,red_kda,blue_Tank,red_Tank,blue_Mage,red_Mage,blue_Assassin,red_Assassin,blue_Marksman,red_Marksman,blue_Support,red_Support,blue_Fighter,red_Fighter,rank_score_red,rank_score_blue
0,37,36,33,1.9444444444444444,36,37,38,2.0,180348,0,291324,167454,389676,458544,171864,349762,119460,167454,353724,458544,31.333333333333332,21.0
0,21,27,25,1.7037037037037037,27,21,23,2.380952380952381,144313,291346,281463,273770,145522,0,162792,303553,133900,110292,289835,291346,28.666666666666668,20.0
0,17,39,28,1.1538461538461537,39,17,62,5.9411764705882355,0,0,493024,379295,325416,0,280552,0,112944,663399,0,284104,33.6,33.0
1,37,38,63,2.6315789473684212,38,37,52,2.4324324324324325,305258,0,436125,143247,238192,404175,454522,145860,140660,82313,164598,343241,32.0,34.0
0,15,44,13,0.6363636363636364,43,15,56,6.6,115212,0,0,171514,69680,0,252215,170240,69680,104388,115212,275902,34.4,33.4
0,21,31,36,1.8387096774193548,31,21,37,3.238095238095238,108432,88418,254485,0,182556,306340,83083,275743,0,0,285114,257426,35.2,34.8
0,22,33,32,1.6363636363636365,33,22,53,3.909090909090909,180670,0,231296,347976,0,213825,145639,199365,0,217950,266327,343851,36.6,33.2
1,51,52,67,2.269230769230769,52,51,65,2.2941176470588234,488772,0,399888,462153,390384,941841,0,386136,399888,252768,879156,0,34.0,33.2
0,23,38,36,1.5526315789473684,38,24,81,4.958333333333333,329108,0,212685,255568,179382,420133,144430,211275,212685,134771,508490,540930,37.6,34.4
1,24,19,39,3.3157894736842106,19,27,29,1.7777777777777777,0,323403,116376,344260,539269,236752,499520,162274,116376,0,281605,742141,34.2,33.2
0,10,26,12,0.8461538461538461,26,10,48,7.4,0,62030,118030,106932,192158,115956,53883,177752,0,70820,261228,177986,35.2,32.8
0,14,24,24,1.5833333333333333,24,14,56,5.714285714285714,93720,201000,190607,263266,146224,167202,241592,119292,54783,211604,239944,539156,35.0,33.2
0,1,17,1,0.11764705882352941,17,1,23,40.0,0,139735,62939,81840,58395,72690,10605,136610,62939,0,47790,221575,33.5,32.6
0,11,32,12,0.71875,32,11,24,5.090909090909091,46134,72860,120792,106536,50040,142282,0,62420,0,157485,96174,164193,34.4,34.8
1,16,2,24,20.0,2,16,1,0.1875,48042,90354,88352,0,86064,0,0,100642,0,34280,134106,124634,37.6,34.4
0,19,25,33,2.08,25,19,39,3.3684210526315788,262143,329445,0,172676,105816,299918,105816,299918,0,261369,262143,240752,37.6,35.2
0,25,41,30,1.3414634146341464,41,25,49,3.6,244393,0,171752,327855,171752,462407,195630,667112,0,116760,244393,0,35.8,34.0
0,21,34,34,1.6176470588235294,34,21,44,3.7142857142857144,0,164724,404274,363816,368756,636229,533270,285481,0,0,0,879288,35.0,32.4
1,41,18,62,5.722222222222222,18,41,32,1.2195121951219512,333360,0,212325,243808,288779,529735,243040,529735,212325,139269,333360,243808,34.4,33.6
0,5,17,5,0.5882352941176471,17,5,24,8.2,0,0,32984,139650,0,85965,123247,153955,32984,105516,83039,33856,36.8,36.0
1,48,31,66,3.6774193548387095,31,48,42,1.5208333333333333,176708,201690,0,447816,830604,0,255456,366273,0,117528,756784,574935,33.6,37.6
0,22,42,37,1.4047619047619047,42,22,67,4.954545454545454,381691,394956,0,776972,0,352728,239440,615912,0,175280,471929,394956,34.6,33.8
1,25,12,19,3.6666666666666665,12,26,12,0.9230769230769231,197868,134809,0,49581,0,87813,106704,179772,0,0,197868,87813,37.4,38.4
0,0,8,0,0.0,8,0,2,10.0,10260,0,43758,78009,26572,44934,41602,17430,31530,60579,10260,44934,34.4,34.6
1,22,10,32,5.4,10,22,9,0.8636363636363636,0,198735,355964,221836,215430,285337,177604,138489,283484,80916,289560,345583,35.6,32.75
