blue_win,blue_kills,blue_deaths,blue_assists,blue_kda,red_kills,red_deaths,red_assists,red_kda,blue_Tank,red_Tank,blue_Mage,red_Mage,blue_Assassin,red_Assassin,blue_Marksman,red_Marksman,blue_Support,red_Support,blue_Fighter,red_Fighter,rank_score_red,rank_score_blue
0,27,40,42,1.725,40,27,80,4.444444444444445,0,373140,242432,670081,262224,379908,280959,349398,523391,0,262224,663313,35.2,39.2
1,33,24,49,3.4166666666666665,23,33,38,1.8484848484848484,242592,166838,171556,135200,181468,173516,176456,135200,0,0,424060,166838,35.2,36.0
1,37,24,85,5.083333333333333,24,37,31,1.4864864864864864,0,455937,385389,0,292961,215820,204630,215820,341923,0,214185,364197,33.6,34.4
0,20,37,27,1.2702702702702702,37,20,55,4.6,110664,0,262832,626593,444266,756803,178556,641497,110664,523994,444266,217905,36.0,34.4
1,28,12,43,5.916666666666667,12,29,15,0.9310344827586207,331120,0,137917,0,87681,168564,0,171198,0,0,193203,168564,40.0,36.8
0,9,32,13,0.6875,32,9,26,6.444444444444445,49311,49743,22806,66010,53973,263115,53055,107928,22806,0,103284,49743,40.0,36.8
0,23,31,37,1.935483870967742,31,23,58,3.869565217391304,0,0,218565,132938,426240,255136,422625,204630,108912,132938,326262,0,39.2,38.4
0,12,28,19,1.1071428571428572,28,12,56,7.0,0,172354,223361,167902,238392,0,229476,309797,87901,108144,254956,280498,38.4,38.4
0,17,32,28,1.40625,32,17,47,4.647058823529412,179102,0,0,0,0,948681,175014,500630,0,160776,179102,361926,36.0,36.0
0,4,14,7,0.7857142857142857,14,4,15,7.25,36416,0,68030,0,68030,90585,47133,0,0,35408,36416,125993,38.4,36.8
1,40,25,73,4.52,25,40,40,1.625,136864,87219,342784,204225,242464,0,419004,136929,382460,204225,0,87219,36.8,36.8
0,25,37,29,1.4594594594594594,37,25,70,4.28,331434,448330,385690,448330,172634,255936,129818,301682,130234,301682,759524,255936,38.4,34.4
1,28,19,33,3.210526315789474,19,28,24,1.5357142857142858,351072,0,198555,334418,0,335118,381101,143793,109776,83908,241296,421616,37.6,36.8
1,50,24,56,4.416666666666667,24,50,33,1.14,0,0,400910,255828,0,268632,424418,0,400910,88528,0,268632,36.8,37.6
1,40,14,66,7.571428571428571,14,40,26,1.0,284604,65780,169288,437753,338758,0,169470,334696,0,166796,0,0,36.8,37.6
0,13,14,11,1.7142857142857142,14,13,18,2.4615384615384617,160173,49977,88847,0,112608,245811,88847,86284,46737,49977,226044,245811,40.0,37.6
0,19,42,31,1.1904761904761905,42,19,75,6.157894736842105,216775,332100,0,340154,0,141674,308639,0,70980,93236,145795,437344,38.4,36.8
1,35,17,52,5.117647058823529,17,35,21,1.0857142857142856,202410,133913,563486,219405,0,165382,390889,116112,213435,86064,0,299295,40.0,40.0
1,15,7,21,5.142857142857143,7,15,12,1.2666666666666666,33528,126735,33528,50346,130191,69070,63130,69070,0,0,130191,126735,37.6,37.6
0,12,22,10,1.0,22,12,21,3.5833333333333335,0,64220,221534,555598,117924,0,385152,513604,83721,181328,0,0,39.2,39.2
0,7,21,6,0.6190476190476191,20,7,32,7.428571428571429,86812,52722,108948,117360,192111,249029,192111,223020,148444,0,86812,52722,38.4,39.2
1,41,28,79,4.285714285714286,28,41,57,2.073170731707317,345369,166152,0,0,236144,195960,176106,339920,0,132457,581513,166152,39.2,38.4
1,44,29,87,4.517241379310345,29,44,63,2.090909090909091,170128,131898,254528,239200,0,0,289561,424440,0,0,254528,347223,36.8,39.2
0,23,35,29,1.4857142857142858,35,23,42,3.347826086956522,205875,134641,201630,459627,65710,0,280262,445077,267340,0,205875,839980,38.4,38.4
0,30,30,53,2.7666666666666666,30,30,49,2.6333333333333333,658828,660147,283186,753750,362232,695141,281469,0,0,0,375642,950864,36.0,33.2
1,42,23,54,4.173913043478261,23,42,34,1.3571428571428572,209520,0,310080,165298,0,1075400,340596,500528,0,165298,519600,574872,34.4,36.0
0,6,30,5,0.36666666666666664,30,6,41,11.833333333333334,46791,259660,0,203544,86845,0,202744,93995,46791,118800,195385,174916,38.4,38.4
0,23,31,49,2.3225806451612905,31,23,77,4.695652173913044,313061,329538,270673,202485,137358,240400,0,442030,83853,202485,179746,0,37.6,39.2
0,24,37,46,1.8918918918918919,37,24,47,3.5,264712,213285,207765,134576,166208,0,134693,0,0,134576,430920,213285,37.6,38.4
1,29,11,26,5.0,10,29,10,0.6896551724137931,254585,34496,133172,72500,0,247450,110448,121244,71510,0,326095,137576,36.8,37.6
1,34,24,66,4.166666666666667,24,34,42,1.9411764705882353,363401,93632,267664,185518,102996,249387,161196,144807,164668,80938,363401,93632,38.4,38.4
0,9,28,13,0.7857142857142857,28,9,32,6.666666666666667,0,0,50490,157361,152579,103140,138259,151691,0,0,64810,103140,37.6,39.2
1,52,25,76,5.12,25,52,55,1.5384615384615385,211485,117528,195555,141778,133601,313619,195555,297736,133601,257962,211485,249595,36.8,36.8
0,40,46,92,2.869565217391304,46,40,101,3.675,195330,666948,908516,693558,0,335772,952270,332496,0,218100,854620,527262,38.4,37.6
0,23,34,38,1.7941176470588236,33,23,54,3.782608695652174,165424,0,295983,802765,202455,239664,416430,520899,130559,160174,0,239664,37.6,38.4
1,21,9,21,4.666666666666667,9,21,11,0.9523809523809523,34488,68730,92059,78894,92103,0,122861,33808,92059,27972,126591,68730,38.4,35.2
1,25,30,40,2.1666666666666665,30,25,45,3.0,161322,0,0,494302,471889,532656,281163,204180,161322,163156,471889,532656,35.2,38.4
0,12,31,20,1.032258064516129,31,12,29,5.0,88363,69860,0,138905,84832,325292,0,0,35656,0,208851,534057,37.6,36.8
0,17,27,17,1.2592592592592593,27,17,35,3.6470588235294117,110076,198990,259693,236264,83083,170814,112020,287200,54162,176054,164238,198990,36.0,37.6
0,28,43,33,1.4186046511627908,43,30,55,3.2666666666666666,0,0,144456,406380,0,175896,373703,166348,144456,0,93819,386076,36.8,40.0
0,32,39,54,2.2051282051282053,39,32,60,3.09375,0,253984,579764,526652,0,342666,244800,259632,454116,174230,117408,606406,36.0,37.6
1,15,17,11,1.5294117647058822,17,15,21,2.533333333333333,208065,0,54918,372613,54918,0,261001,439209,0,63950,208065,91509,38.4,35.2
0,7,24,6,0.5416666666666666,24,7,28,7.428571428571429,66100,183139,113649,112752,0,72960,38160,50283,75489,39792,134010,183139,34.4,34.4
1,37,32,58,2.96875,32,37,61,2.5135135135135136,524214,0,288507,501477,343494,537223,348894,198690,465663,216030,690552,251776,37.6,33.6
0,23,35,33,1.6,35,23,52,3.782608695652174,0,142077,142961,214650,772932,238768,385729,663276,114264,214650,179004,399901,37.6,36.0
0,21,43,35,1.302325581395349,43,21,71,5.428571428571429,169638,198075,290360,353480,219960,213060,164920,422010,290360,562430,389598,198075,36.8,35.4
0,28,38,37,1.7105263157894737,38,28,43,2.892857142857143,357035,486301,237984,284342,0,244208,474711,244208,214455,284342,210135,486301,39.2,35.2
1,40,23,62,4.434782608695652,23,40,28,1.275,257280,0,180908,352032,262864,306680,248016,177478,180908,352032,520144,306680,36.0,37.6
1,36,14,52,6.285714285714286,14,36,24,1.0555555555555556,117144,68360,0,237360,167510,147030,352571,111936,0,0,167510,320618,36.6,37.6
1,20,11,21,3.727272727272727,11,20,7,0.9,159528,0,84183,266534,83545,0,67310,131610,151493,0,190333,0,37.6,35.2
1,34,26,39,2.8076923076923075,26,34,63,2.6176470588235294,360198,235584,676242,280330,342108,371358,445068,677222,136734,280330,831066,235584,36.8,39.2
0,31,43,39,1.627906976744186,43,32,78,3.78125,366516,0,243616,453591,176064,722455,244704,254528,243616,203175,366516,472039,39.2,39.2
1,20,7,26,6.571428571428571,7,20,8,0.75,121118,0,49581,112113,0,65480,65770,92996,49581,150281,121118,0,38.4,38.4
1,29,29,57,2.9655172413793105,29,29,64,3.206896551724138,93390,239154,164332,0,243312,133705,606229,136318,0,105696,0,267163,38.4,38.4
1,26,17,35,3.588235294117647,17,26,21,1.4615384615384615,236752,0,490883,418741,0,280586,313830,118116,0,112044,675726,306991,39.2,37.6
1,28,9,34,6.888888888888889,9,28,16,0.8928571428571429,147199,0,113892,67010,254318,188154,274859,86152,134433,67010,147199,188154,37.6,37.6
0,7,21,8,0.7142857142857143,21,7,22,6.142857142857143,64200,0,133319,117948,0,158393,107428,137198,96831,117948,135140,69480,38.4,38.4
0,27,37,35,1.6756756756756757,37,27,60,3.5925925925925926,0,250656,177548,170338,387132,448073,142064,345226,67520,170338,0,534845,38.4,36.4
1,41,46,69,2.391304347826087,46,41,73,2.902439024390244,435564,0,1265760,909432,0,498924,657486,1541682,0,407934,435564,541260,38.4,38.4
1,40,22,72,5.090909090909091,22,40,24,1.15,211485,325035,394299,171430,471205,0,218595,205530,181734,108720,470125,421845,36.8,37.6
