blue_win,blue_kills,blue_deaths,blue_assists,blue_kda,red_kills,red_deaths,red_assists,red_kda,blue_Tank,red_Tank,blue_Mage,red_Mage,blue_Assassin,red_Assassin,blue_Marksman,red_Marksman,blue_Support,red_Support,blue_Fighter,red_Fighter,rank_score_red,rank_score_blue
1,58,45,108,3.688888888888889,45,58,73,2.0344827586206895,0,216210,0,703584,759240,740052,597397,330732,681482,0,1136898,927462,38.0,40.0
0,2,9,1,0.3333333333333333,9,2,13,11.0,0,134835,141683,26978,112077,90970,33624,48573,0,26978,116906,225805,36.0,30.6
1,33,18,54,4.833333333333333,18,33,30,1.4545454545454546,251216,0,481808,111648,245168,421796,236640,138021,148070,111648,251216,243856,38.4,36.8
0,13,28,19,1.1428571428571428,28,13,49,5.923076923076923,279122,113508,142129,178346,136435,148512,110172,148512,0,113508,557686,178346,34.4,38.666666666666664
0,29,36,44,2.0277777777777777,36,29,71,3.689655172413793,553944,409740,368567,0,169652,117576,198915,263344,117768,117576,436176,673084,36.0,32.6
1,38,20,51,4.45,20,38,30,1.3157894736842106,106260,65920,373721,178480,171612,145821,511493,0,173096,0,106260,112560,37.4,34.6
0,9,30,7,0.5333333333333333,30,10,27,5.7,162567,197895,179663,257770,90508,288406,160755,89881,0,81972,162567,310503,35.25,33.6
0,7,23,7,0.6086956521739131,23,7,30,7.571428571428571,107692,86856,71240,167838,71240,166683,64420,84502,25137,124337,82555,86856,33.6,36.0
0,6,17,8,0.8235294117647058,17,6,17,5.666666666666667,71290,0,63320,160296,114197,91322,36520,114648,73880,45648,122167,91322,34.4,33.0
0,13,23,16,1.2608695652173914,23,13,40,4.846153846153846,131027,249455,198462,130845,106536,305803,0,111492,66980,83457,369045,340956,34.4,34.333333333333336
0,21,26,28,1.8846153846153846,26,21,46,3.4285714285714284,279710,323670,241392,388783,0,0,288806,0,69850,241168,279710,219990,36.4,38.4
0,12,40,16,0.7,40,12,56,8.0,92037,0,150231,141765,72740,84161,167798,94072,110213,225926,164777,0,34.4,35.75
1,32,14,63,6.785714285714286,14,32,21,1.09375,110892,72990,204120,114108,410385,108696,177058,114108,110892,0,0,328157,38.666666666666664,34.4
0,23,31,33,1.8064516129032258,31,23,49,3.4782608695652173,0,350952,164766,219240,197865,0,0,399490,0,113304,164766,237648,35.2,34.5
0,13,32,19,1.0,32,13,48,6.153846153846154,137358,115296,313903,114624,0,209520,0,590189,313903,114624,137358,357424,38.0,37.333333333333336
1,21,6,23,7.333333333333333,6,21,6,0.5714285714285714,32832,85272,119908,61850,93940,26117,54963,45909,0,26117,0,147122,38.4,39.0
1,33,25,37,2.8,25,33,46,2.1515151515151514,299404,0,445035,594946,289544,385070,387988,170240,0,132964,588948,247152,35.0,37.0
0,34,44,52,1.9545454545454546,44,34,71,3.3823529411764706,0,296157,505890,618232,629263,370044,532673,684045,173124,237280,0,666201,36.8,37.0
1,34,17,50,4.9411764705882355,17,35,21,1.0857142857142856,239216,140426,334731,161336,0,204137,0,0,114696,0,239216,437989,36.0,35.5
1,20,2,29,24.5,2,20,1,0.15,0,104184,239145,75803,0,48501,65590,0,38824,25025,106128,203463,34.4,36.0
0,23,26,46,2.6538461538461537,26,23,48,3.217391304347826,0,118836,197625,0,218940,396267,134810,218355,311085,118836,113460,177912,35.2,36.0
0,30,42,50,1.9047619047619047,42,30,64,3.533333333333333,253264,0,387854,311270,253472,594428,253472,243872,387854,555142,253264,245264,36.8,35.5
0,18,24,27,1.875,24,18,37,3.388888888888889,160869,199905,137670,210526,0,0,0,118776,49581,0,248958,268315,33.75,37.6
1,34,20,40,3.7,20,35,31,1.457142857142857,384894,0,350226,440820,356598,659859,350226,238384,219885,201060,741492,899619,33.0,38.0
0,33,47,65,2.0851063829787235,47,33,97,4.363636363636363,541641,295069,375212,247616,175420,0,175420,248640,375212,247616,541641,295069,36.0,38.666666666666664
1,37,14,84,8.642857142857142,13,37,27,1.0810810810810811,244416,0,345856,264940,0,285077,162442,0,175588,132717,244416,417300,40.0,38.4
1,26,15,37,4.2,15,27,20,1.2962962962962963,172872,131963,302996,216403,0,144443,339724,0,302996,71960,172872,131963,34.0,31.5
1,44,41,81,3.048780487804878,41,44,74,2.6136363636363638,377763,0,0,0,242368,641767,239600,336078,0,565041,620131,284971,35.5,36.0
1,44,40,82,3.15,40,45,81,2.688888888888889,205170,366282,0,720823,377820,295460,0,215145,0,639981,582990,661742,38.0,36.0
1,31,18,54,4.722222222222222,18,31,31,1.5806451612903225,0,207975,509471,291763,487184,335202,0,307502,290276,92983,487184,207975,36.0,38.0
0,28,41,39,1.6341463414634145,41,28,54,3.392857142857143,252832,146692,305184,666397,212280,450240,327320,210000,327320,146692,770296,906637,27.0,28.8
1,29,6,44,12.166666666666666,6,29,4,0.3448275862068966,114876,0,65980,37424,89100,171486,89100,67110,65980,37424,114876,0,35.0,34.75
1,40,18,56,5.333333333333333,18,40,29,1.175,0,0,0,72000,301496,273962,196815,111300,119244,0,0,212257,36.8,36.0
1,26,39,41,1.7179487179487178,39,26,50,3.423076923076923,296276,197835,902084,536150,0,283288,238304,0,405348,288966,296276,728307,36.0,36.666666666666664
1,36,31,74,3.5483870967741935,31,36,48,2.1944444444444446,288167,570345,0,263552,0,263552,744378,0,397950,147056,288167,717401,35.2,37.333333333333336
0,8,19,9,0.8947368421052632,19,8,31,6.25,132054,139737,198989,94325,0,267332,109968,267728,81521,94325,359490,246909,36.0,39.0
1,34,17,55,5.235294117647059,17,34,33,1.4705882352941178,385611,0,284954,429255,263504,0,0,198285,0,331395,934069,198285,32.5,39.0
0,22,28,29,1.8214285714285714,28,22,34,2.8181818181818183,296582,0,552228,502827,0,338040,388137,338040,116568,204120,296582,298707,33.333333333333336,35.2
0,40,39,64,2.6666666666666665,39,41,79,2.8780487804878048,214440,205905,306729,300917,446353,0,165172,544742,141557,300917,660793,501943,38.4,39.2
0,23,37,31,1.4594594594594594,37,23,56,4.043478260869565,0,161644,87395,0,205275,656042,0,0,87395,0,205275,600981,37.6,36.0
0,11,22,10,0.9545454545454546,22,11,35,5.181818181818182,72858,28084,112538,86416,120740,0,120740,83369,0,86416,131678,111453,39.2,38.0
